Facility Name,Full Address,Parish,Subprogram Code
LaSalle Head Start,"1465 School Road 
Jena, LA 71342",LaSalle,Early Learning Center III
Le Chateau des Jeunes,"42382 Cannon Road 
Gonzales, LA 70737",Ascension,Early Learning Center III
"Leap Into Learning Child Development Center, LLC","1277 Ham Reid Road 
Lake Charles, LA 70605",Calcasieu,Early Learning Center II
Leaps and Bounds Sports Center,"30113 Eden Church Road 
Denham Springs, LA 70726",Livingston,Early Learning Center II
Learn and Play Preschool,"40424 Parker Road 
Prairieville, LA 70769",Ascension,Early Learning Center III
"Learn N Grow Learning Center, LLC","1678 St. Patrick's Blvd 
Ponchatoula, LA 70454",Tangipahoa,Early Learning Center III
Learning Adventures Early Educational Center,"308 Youngsville Highway 
Lafayette, LA 70508",Lafayette,Early Learning Center II
Learning Express Child Development Center,"4516 Moss Street 
Lafayette, LA 70507",Lafayette,Early Learning Center II
Lee's Over the Rainbow,"740 Albertson Parkway 
Broussard, LA 70518",Lafayette,Early Learning Center I
Les Enfants at Trinity,"1200 Josephine Street 
New Orleans, LA 70130",Orleans,Early Learning Center I
Li'l Bucks N Does Adventure & Learning,"12219 La Highway 92 
Maurice, LA 70555",Vermilion,Early Learning Center III
Life Child Development Center,"9010 Florida Blvd. 
Walker, LA 70785",Livingston,Early Learning Center II
Life Church.LA Preschool,"3000 South Vienna 
Ruston, LA 71270",Lincoln,Early Learning Center III
Life Discovery After School Center,"11799  Mansfield Road 
Keithville, LA 71047",Caddo,Early Learning Center II
Life Discovery Center,"11838 Mansfield Road 
Keithville, LA 71047",Caddo,Early Learning Center III
"Life's Little Blessings Daycare, LLC","1603 East Lafayette Street 
Winnfield, LA 71483",Winn,Early Learning Center III
Lifechurch.LA Preschool North,"2106 Farmerville Highway, Suite C 
Ruston, LA 71270",Lincoln,Early Learning Center I
Lighthouse Learning,"1331 North Perkins Ferry Road 
Lake Charles, LA 70611",Calcasieu,Early Learning Center I
Lil Angel Daycare LLC.,"1024 Lagneaux Road 
Duson, LA 70529",Lafayette,Early Learning Center III
Lil Feet Academy,"2605 21st Street 
Kenner, LA 70062",Jefferson,Early Learning Center III
Lil Hearts and Hands,"2720 Highway 28 East 
Pineville, LA 71360",Rapides,Early Learning Center III
Lil Magic Kingdom Daycare,"54300 Highway 1062 
Loranger, LA 70446",Tangipahoa,Early Learning Center II
Lil People Early Learning Center,"4157 N. Sherwood Forest 
Baton Rouge , LA 70814",East Baton Rouge,Early Learning Center III
"Lil Rascals Learning Center, LLC","1729 Highway 117 
Provencal, LA 71468",Natchitoches,Early Learning Center III
Lil Red Wagon of Cenla LLC,"9980 Highway 28 West 
Boyce, LA 71409",Rapides,Early Learning Center III
"Lil Toddler Academy, LLC","626 Avenue A 
Marrero, LA 70072",Jefferson,Early Learning Center III
Lil Wildcats Child Care LLC,"10510 Joor Road, Ste 400 
Baton Rouge, LA 70818",East Baton Rouge,Early Learning Center III
"Lil' Country Bumpkins Childcare, LLC","27259 Highway 42 
Springfield , LA 70462",Livingston,Early Learning Center II
"Lil' Hero's Learning Academy, LLC","4438 Highway 22 
Mandeville, LA 70471",St. Tammany,Early Learning Center III
Lil' Lighthouse Christian Academy,"706 West 14th Avenue 
Covington, LA 70433",St. Tammany,Early Learning Center II
Lincoln Head Start Center,"421 West Vaughn Street 
Ruston, LA 71270",Lincoln,Early Learning Center III
"Linda's Bright Beginnings Child Care, Inc","1967 Sam Houston Jones Parkway 
Moss Bluff, LA 70611",Calcasieu,Early Learning Center III
"Linda's Early Childhood Development and Preschool, Inc.","319 Amelia Street 
Destrehan, LA 70047",St. Charles,Early Learning Center I
"Lion's Den DaySchool, Inc","1810 Hampton Street 
Vinton, LA 70668",Calcasieu,Early Learning Center III
"Little Acres Day Care Center, Inc","1836 Roper Drive 
Scott, LA 70583",Lafayette,Early Learning Center II
Little Angels Child Care and Development Center,"221 Leighton Road 
Thibodaux, LA 70301",Lafourche,Early Learning Center III
Little Angels Daycare,"409 Cason Avenue 
Bastrop, LA 71220",Morehouse,Early Learning Center III
Little Angels Learning Academy,"135 South Barrone Street 
Ponchatoula, LA 70454",Tangipahoa,Early Learning Center III
Little Angels Learning Academy,"1307 South 7th Street 
Monroe, LA 71202",Ouachita,Early Learning Center III
Little Arrows Learning Academy,"2229 Highway 3185 
Thibodaux, LA 70301",Lafourche,Early Learning Center I
Little Beautiful Minds,"2601 David Drive 
Metairie, LA 70003",Jefferson,Early Learning Center III
Little Berries Preschool LLC,"112 Lake Orleans Blvd 
Ponchatoula, LA 70454",Tangipahoa,Early Learning Center II
Little Blessings Childcare & Preschool II,"3109 West Willow Street 
Scott, LA 70583",Lafayette,Early Learning Center I
Little Blessings Childcare and Preschool,"104 Fourpark Road 
Lafayette, LA 70507",Lafayette,Early Learning Center III
Little Blessings Childcare of Lafayette,"215 RUE LOUIS XIV 
LAFAYETTE, LA 70508",Lafayette,Early Learning Center II
Little Blessings of Breaux Bridge,"1822 Rees Street 
Breaux Bridge, LA 70517",St. Martin,Early Learning Center III
Little Blessings of Broussard,"901 East Main Street 
Broussard, LA 70518",Lafayette,Early Learning Center III
Little Blessings of Milton,"400 West Milton Avenue 
Lafayette, LA 70508",Lafayette,Early Learning Center III
Little Blessings of West Lafayette,"801 Pandora Street 
Lafayette, LA 70506",Lafayette,Early Learning Center III
Little Blessings of Youngsville,"214 Church Street 
Youngsville, LA 70592",Lafayette,Early Learning Center III
"Little Bo-Peep Daycare and Learning Center, Inc","1227 Lee Drive 
Baton Rouge, LA 70808",East Baton Rouge,Early Learning Center III
Little Colonels Academy,"304 Ardoyne Dr. 
Thibodaux, LA 70310",Lafourche,Early Learning Center III
Little Doves Daycare,"14130 Highway 44 
Gonzales, LA 70737",Ascension,Early Learning Center III
Little Dreamers Christian Academy,"1145 Sunshine Drive 
Baker, LA 70714",East Baton Rouge,Early Learning Center III
Little Einsteins Head Start,"2924 Deussard Road 
Erath, LA 70533",Vermilion,Early Learning Center III
Little Feathers Childcare and Preschool,"303 Oak Drive 
Rayville, LA 71269",Richland,Early Learning Center III
Little Feet First,"1019 Old Spanish Trail 
Slidell, LA 70458",St. Tammany,Early Learning Center III
Little Feet First,"3175 Terrace Ave 
Slidell, LA 70458",St. Tammany,Early Learning Center III
Little Flower Academy,"610 South 16th Street 
Monroe, LA 71201",Ouachita,Early Learning Center III
Little Folks Day Care inc,"1016 A Hwy 20 
Thibodaux, LA 70301",Lafourche,Early Learning Center II
Little Footprints Schoolhouse LLC,"70263 L Street 
Covington, LA 70433",St. Tammany,Early Learning Center II
Little Friends Child Care & Development Center,"920 Noon Street 
Rayne, LA 70578",Acadia,Early Learning Center III
Little Friends Child Care & Development Center IV,"101 Wildflower Lane 
Church Point, LA 70525",Acadia,Early Learning Center III
Little Gators Learning Center,"5708 Airline Drive 
Metairie, LA 70003",Jefferson,Early Learning Center I
Little Gifted Minds LLC,"168 Lalanne Road 
Madisonville, LA 70447",St. Tammany,Early Learning Center II
Little Giraffes Learn & Grow Early Development Center,"209 W. Jefferson Street 
Ville Platte, LA 70586",Evangeline,Early Learning Center III
Little Grace Childcare and Learning Center,"13018 Brickyard Road 
Independence, LA 70443",Tangipahoa,Early Learning Center III
Little Harvard CDC Caddo Pre-K,"875 Flournoy Lucas Road 
Shreveport , LA 71118",Caddo,Early Learning Center III
"Little Imaginations Development & Learning Center, LLC","4706 Highway 311 
Houma, LA 70360",Terrebonne,Early Learning Center II
Little Ivy Prep,"2224 Barataria Blvd 
Marrero, LA 70072",Jefferson,Early Learning Center III
Little Jewels and Gems Learning Academy,"5646 Brownfields Drive 
Baton Rouge, LA 70811",East Baton Rouge,Early Learning Center III
Little Lads and Lassies Learning Center,"38026 Highway 621 
Gonzales, LA 70737",Ascension,Early Learning Center III
Little Land Children's Learning Workshop,"9212 Greenwell Springs Road 
Baton Rouge, LA 70814",East Baton Rouge,Early Learning Center III
Little Land Children's Learning Workshop,"12611 Plank Road 
Baker , LA 70714",East Baton Rouge,Early Learning Center III
Little Learner's Preparatory Academy,"430 East New River Street 
Gonzales, LA 70737",Ascension,Early Learning Center III
Little Learners Enrichment Center,"5808 Highway 28 East 
Pineville, LA 71360",Rapides,Early Learning Center III
"Little Learning Academy of Broussard, LLC","536 South Bernard Road 
Broussard, LA 70518",Lafayette,Early Learning Center III
Little Life's Learning Center,"2324 Coteau Road 
Houma, LA 70364",Terrebonne,Early Learning Center II
Little Miracle's Child Development Center,"1200 Martin Luthur King Jr Drive 
Lafayette, LA 70501",Lafayette,Early Learning Center III
Little Oak Preschool,"118 North Jefferson 
Covington, LA 70433",St. Tammany,Early Learning Center II
Little Oaks Learning Center,"1805 Eraste Landry Road 
Lafayette, LA 70506",Lafayette,Early Learning Center III
Little One's Daycare,"602 Martin Luther King South 
Bastrop, LA 71220",Morehouse,Early Learning Center III
"Little Ones Love To Learn,Inc.","809 W St. Mary Boulevard 
Lafayette, LA 70506",Lafayette,Early Learning Center III
Little People LLC,"3817 W Main Street 
Gray, LA 70359",Terrebonne,Early Learning Center I
Little People Place Early Development Center,"915 Dartez Drive 
New Iberia, LA 70563",Iberia,Early Learning Center III
Little People's Play Station,"29378 South Frost Road 
Livingston , LA 70754",Livingston,Early Learning Center II
Little Peoples Workshop,"2300 Lapeyrouse Street 
New Orleans, LA 70119",Orleans,Early Learning Center III
Little Prince & Princess Academy,"35647 Liberty Drive 
Slidell, LA 70460",St. Tammany,Early Learning Center III
Little Professor Child Development Center,"2424 Clara Street 
New Orleans, LA 70128",Orleans,Early Learning Center III
Little Rascals Clubhouse,"1595 Shortcut Hwy 
Slidell, LA 70458",St. Tammany,Early Learning Center III
Little Red Schoolhouse of Covington,"304 East 32nd Avenue 
Covington, LA 70433",St. Tammany,Early Learning Center III
Little Red Schoolhouse of Metairie,"2055 Metairie Road 
Metairie, LA 70005",Jefferson,Early Learning Center I
Little Scholars Academy LLC,"4441 Old Gentilly Road 
New Orleans, LA 70126",Orleans,Early Learning Center III
Little Scholars Learning Center,"4402 Ryan Rd 
Abbeville, LA 70510",Vermilion,Early Learning Center II
Little Scholars Preschool,"785 Bozo Road 
Lake Charles, LA 70611",Calcasieu,Early Learning Center II
Little Shining Stars 2,"912 Southwest Main Street 
Bunkie, LA 71322",Avoyelles,Early Learning Center III
Little Skool House Preschool and Learning Center,"367 West 79th Street 
Shreveport, LA 71106",Caddo,Early Learning Center III
Little Sprouts Child Care and Learning Center,"111 1st Avenue 
Kinder, LA 70648",Allen,Early Learning Center II
Little Sprouts Nursery & Schoolhouse,"4476 Viking Drive 
Bossier City, LA 71111",Bossier,Early Learning Center I
Little Sprouts Too,"4472 Viking Drive 
Bossier City, LA 71111",Bossier,Early Learning Center II
"Little Steps Academy, LLC","14937 East Main Street 
Cut Off, LA 70345",Lafourche,Early Learning Center III
Little Steps Daycare and Learning Center,"507 Church Street 
Youngsville, LA 70592",Lafayette,Early Learning Center II
Little Steps Learning Center,"4335 Werner Drive 
New Orleans , LA 70126",Orleans,Early Learning Center III
Little Steps of Faith Child Enrichment Center,"303 Sibley Road 
Minden, LA 71055",Webster,Early Learning Center II
Little Thinkers Learning Campus,"114 River Birch Dr 
Iowa, LA 70647",Calcasieu,Early Learning Center III
Little Tykes Daycare and Early Learning,"13344 Hwy 44 
Gonzales, LA 70737",Ascension,Early Learning Center II
Little Wonders Learning Center LLC,"78495 Hwy. 437 
Covington, LA 70435",St. Tammany,Early Learning Center II
Littleville Playschool,"5915 North Commerce Street 
St. Francisville , LA 70775",West Feliciana,Early Learning Center II
Living Way Instruction Zone,"17013 N-I -12 Service Road 
Hammond, LA 70403",Tangipahoa,Early Learning Center III
Livingston Head Start,"25753 Walker South Road 
Denham Springs, LA 70726",Livingston,Early Learning Center III
Livingston/SLU Head Start,"9261 Florida Boulevard 
Walker, LA 70785",Livingston,Early Learning Center III
Lolli-Pop Ranch Christian Pre-School & Daycare,"59334 North Pearl Drive 
Slidell, LA 70461",St. Tammany,Early Learning Center I
Lollipop Lane Childcare LLC,"1428 Cherry Ridge Rd 
Bastrop, LA 71220",Morehouse,Early Learning Center II
"Lollipops Play School, Inc.","110 Leonie Street 
Lafayette, LA 70506",Lafayette,Early Learning Center I
Lolo's Lullabies LLC,"10410 Highway 1 
Moreauville , LA 71355",Avoyelles,Early Learning Center II
London Bridge Early Learning Center,"4844 Monticello Boulevard 
Baton Rouge , LA 70814",East Baton Rouge,Early Learning Center III
"London Bridge Early Learning Center, LLC","11821 Wentling Avenue 
Baton Rouge , LA 70816",East Baton Rouge,Early Learning Center III
London's Bridge,"7060 Branch Highway 
Branch, LA 70516",Acadia,Early Learning Center I
Loreto Early Learning Center,"1801 Division Street 
Metairie, LA 70001",Jefferson,Early Learning Center I
Lots of Love Christian Academy,"8626 Highway 182 
Opelousas, LA 70570",St. Landry,Early Learning Center III
"Lots-O-Tots Day Care Center, Inc","174 Saint Joseph Street 
Thibodaux, LA 70301",Lafourche,Early Learning Center II
Louise Hayem Manheim Center For Early Childhood Education,"4000 West Esplanade Avenue 
Metairie, LA 70002",Jefferson,Early Learning Center I
Louise S McGehee School's Little Gate,"1538 Philip Street 
New Orleans , LA 70130",Orleans,Early Learning Center I
Louisiana State University at Alexandria Children's Center,"210 Thelma Ethridge Drive 
Alexandria, LA 71302",Rapides,Early Learning Center III
Louisiana Tech University Early Childhood Education Center,"401 West Louisiana Avenue 
Ruston, LA 71270",Lincoln,Early Learning Center III
"Love & Blessings Academy, LLC","1905 Jewella Avenue 
Shreveport, LA 71109",Caddo,Early Learning Center III
Loving Hands Children's Enrichment Center,"1707 Metro Drive Ste A 
Alexandria , LA 71301",Rapides,Early Learning Center III
Loyola University New Orleans - Whelan Children's Center,"2020 Calhoun Street 
New Orleans, LA 70118",Orleans,Early Learning Center III
LSU Early Childhood Education Laboratory Preschool,"4001 Gourrier Lane 
Baton Rouge, LA 70803",East Baton Rouge,Early Learning Center III
LSU Early Learning Center,"411 S. Prieur Street 
New Orleans, LA 70112",Orleans,Early Learning Center II
Lynn's Daycare,"1613 Hwy 22 West 
Madisonville, LA 70447",St. Tammany,Early Learning Center II
Mae Mae's Munchkins,"189 Camps Smokehouse Road 
Minden , LA 71055",Webster,Early Learning Center III
Maggie's Daycare,"2410 South James Street 
Arcadia, LA 71001",Bienville,Early Learning Center III
Magic Street Head Start/Early Head Start,"2101 Lafitte Street 
New Orleans, LA 70112",Orleans,Early Learning Center III
Magical Moments Learning Center,"2240 AP Tureaud Avenue 
New Orleans, LA 70119",Orleans,Early Learning Center III
Magnolia Child Development,"4706 Monkhouse Drive 
Shreveport, LA 71109",Caddo,Early Learning Center III
Mahalia Jackson Head Start/EHS Center,"2405 Jackson Avenue 
New Orleans, LA 70113",Orleans,Early Learning Center III
Mamou Head Start,"1205 4th Street 
Mamou, LA 70554",Evangeline,Early Learning Center III
Many El. School - Many Preschool Center,"1501 Natchitoches Highway 
Many , LA 71449",Sabine,Early Learning Center III
Marrero Day Care Center Inc.,"616 Avenue B 
Marrero, LA 70072",Jefferson,Early Learning Center III
Martin Luther King Head Start,"1445 Martin L King Blvd 
Thibodaux, LA 70301",Lafourche,Early Learning Center III
Mary's Child Care,"2100 Carol Sue 
Gretna, LA 70056",Jefferson,Early Learning Center III
Mary's Little Lambs,"104 Louisiana Dr. 
Thibodaux, LA 70301",Terrebonne,Early Learning Center II
Marydale Joseph B Jones Head Start,"102 Park Avenue 
Thibodaux, LA 70301",Lafourche,Early Learning Center III
Maw Maw Mason's Daycare #2,"601 Lessard Street 
Donaldsonville, LA 70346",Ascension,Early Learning Center III
McGuire UMC Child Development Center,"2075 Arkansas Road 
West Monroe , LA 71291",Ouachita,Early Learning Center III
MCIO Head Start Program Oak Grove,"410 Combs Street 
Oak Grove, LA 71263",West Carroll,Early Learning Center III
McMillian's First Steps Community Development Corporation,"2601 South Claiborne Avenue 
New Orleans, LA 70125",Orleans,Early Learning Center III
Melodyland Child Care Center #2,"4016 Greenwood Road 
Shreveport, LA 71109",Caddo,Early Learning Center III
Memorial Baptist Early Learning Center,"5701 Veterans Memorial Blvd. 
Metairie, LA 70003",Jefferson,Early Learning Center I
Merry Oaks Preschool,"878 School Street 
Houma, LA 70360",Terrebonne,Early Learning Center I
Messiah Preschool,"201 Gemini Court 
Houma, LA 70360",Terrebonne,Early Learning Center I
Metairie Daycare & Camp; Learning Center,"4501 Lorino Street 
Metairie, LA 70006",Jefferson,Early Learning Center III
Metairie Kid's World,"2908 Lake Villa 
Metairie, LA 70002",Jefferson,Early Learning Center III
Metairie Ridge Presbyterian Daycare,"215 Phosphor Avenue 
Metairie, LA 70005",Jefferson,Early Learning Center I
Methodist Children's Learning Center,"405 West Port Street 
DeRidder, LA 70634",Beauregard,Early Learning Center I
Mickey Mouse Head Start,"105 T J Hatcherson Street 
Baldwin, LA 70514",St. Mary,Early Learning Center III
Mid-City Early Learning Center,"4302 Canal Street 
New Orleans , LA 70119",Orleans,Early Learning Center I
Milestones Child Development Center LLC,"8332 Lafitte Ct. 
Chalmette, LA 70043",St. Bernard,Early Learning Center II
Mimi's Learning Center,"105 Alpha Street 
Belle Chasse, LA 70037",Plaquemines,Early Learning Center II
Mimi's Lil Schoolhouse of St Charles LLC,"77 Wade Street 
Luling, LA 70070",St. Charles,Early Learning Center III
Mimi's Preschool Inc.,"1300 Saint Mary Street 
Scott, LA 70583",Lafayette,Early Learning Center III
Minden Montessori School,"613 Germantown Rd 
Minden, LA 71055",Webster,Early Learning Center II
Mini Cats Daycare,"1507 N. Lewis Ave. 
Basile, LA 70515",Evangeline,Early Learning Center II
Mini Miracles Child Care Center,"3107 Stockwell Road 
Bossier City, LA 71111",Bossier,Early Learning Center I
Mini Miracles Childcare,"148 Croydon Avenue 
Baton Rouge, LA 70811",East Baton Rouge,Early Learning Center II
"Mini Scholars Childcare Center, Inc","178 Biedenharn Drive 
West Monroe, LA 71291",Ouachita,Early Learning Center III
Mom's Helper Daycare Camp & Preschool,"190 Hamm Street 
Farmerville, LA 71241",Union,Early Learning Center I
Mommy's Helping Hand,"108 South Lyman 
Abbeville, LA 70510",Vermilion,Early Learning Center III
Mon Petite Miracles Child Care Center,"1108 Villaggio Blvd 
Bossier City, LA 71111",Bossier,Early Learning Center I
Montessori and Me,"15631 Fischer Lane 
Ponchatoula, LA 70454",Tangipahoa,Early Learning Center III
Montessori and Me Too Preschool,"305 West Morris Avenue 
Hammond, LA 70403",Tangipahoa,Early Learning Center III
Montessori Christian Academy,"4441 Iberville Street 
Mandeville, LA 70471",St. Tammany,Early Learning Center I
Montessori Educational Center,"4209 North Bolton Avenue 
Alexandria, LA 71303",Rapides,Early Learning Center I
Montessori Learning Center,"4804 York St 
Metairie, LA 70001",Jefferson,Early Learning Center II
Montessori School of Baton Rouge,"12663 Perkins Road 
Baton Rouge, LA 70810",East Baton Rouge,Early Learning Center II
Montessori School of Baton Rouge,"8227 Wimbledon Avenue 
Baton Rouge, LA 70810",East Baton Rouge,Early Learning Center I
Montessori School of ruston,"700 Woodward Avenue 
Ruston, LA 71270",Lincoln,Early Learning Center II
Morehouse Community Improvement Organization,"630 Collinston Road 
Bastrop, LA 71220",Morehouse,Early Learning Center III
Moriahs Christian Preschool,"332 South Goos Street 
Lake Charles, LA 70601",Calcasieu,Early Learning Center III
Mother Goose Daycare and Learning Center,"130 Ellis Road 
DeRidder, LA 70634",Beauregard,Early Learning Center III
Mother Goose Land Head Start,"618 Weston Street 
Minden, LA 71055",Webster,Early Learning Center III
Mother's Choice Child Care Center,"621 Shadyglen Drive 
Baton Rouge, LA 70816",East Baton Rouge,Early Learning Center III
Mount Bethel Head Start Center,"3479 Keithville-Mt.Bethel 
Keithville, LA 71047",Caddo,Early Learning Center III
Mount Pilgrim Baptist Church Day Care Center,"2717 Joliet Street 
New Orleans, LA 70118",Orleans,Early Learning Center III
"Mrs. Tut's Circle of Learning Developmental Center, LLC","116 Buford Street 
Raceland, LA 70394",Lafourche,Early Learning Center III
Ms Ellen's Daycare Center,"1503 W McNeese St. 
Lake Charles, LA 70605",Calcasieu,Early Learning Center III
Ms Laurie's Learning Center,"518 South Evangeline Street 
New Iberia, LA 70560",Iberia,Early Learning Center II
Ms. Dees Learning Tree,"200 Comanche Trail 
West Monroe, LA 71291",Ouachita,Early Learning Center I
Mudbug Academy,"15077 A Highway 73 
Prairieville, LA 70769",Ascension,Early Learning Center II
"Munchkinland Child Development Center, LLC","211 Post Oak Blvd 
Alexandria, LA 71303",Rapides,Early Learning Center III
My Friends and Yours Learning Land,"1275 South Estate Drive 
New Iberia, LA 70563",Iberia,Early Learning Center I
"My Little Angels Daycare Center, LLC dba Kiddie Magic Learning Academy","500 North 20th Street 
Monroe, LA 71201",Ouachita,Early Learning Center III
My Little Sprout LLC,"22 Starbrush Circle 
Covington, LA 70433",St. Tammany,Early Learning Center III
My Little Sprout Too,"641 Lotus Drive N 
Mandeville , LA 70471",St. Tammany,Early Learning Center III
Myra G Champagne Head Start,"203 East Fontinelle Street 
Lockport, LA 70374",Lafourche,Early Learning Center III
N S U Child Development Center,"1 Caldwell Drive Room 116 
Natchitoches, LA 71497",Natchitoches,Early Learning Center III
Nanny's Learning Center,"2025 Woodmere Blvd 
Harvey, LA 70058",Jefferson,Early Learning Center III
"Nanny's Preschool and Child Development Center, Inc.","1415 Peterman Drive 
Alexandria, LA 71301",Rapides,Early Learning Center II
Napoleonville Head Start,"185 Highway 1008 
Napoleonville, LA 70390",Assumption,Early Learning Center III
Nay's Childcare and Preschool,"599 Schexnyder Road 
Mansura, LA 71350",Avoyelles,Early Learning Center III
Nay's Infant Center,"587 Schexnyder Road 
Mansura, LA 71350",Avoyelles,Early Learning Center III
Nazarene Children's Academy,"64129 Highway 41 
Pearl River , LA 70452",St. Tammany,Early Learning Center I
Nehemiah Christian Academy,"2332 Jewella Avenue 
Shreveport, LA 71109",Caddo,Early Learning Center III
Nelson Academy,"904 East Prien Lake Road 
Lake Charles, LA 70601",Calcasieu,Early Learning Center III
Nettles Academy,"105 Jules Avenue 
Jefferson, LA 70121",Jefferson,Early Learning Center III
NEW AND EXCITING CHILDCARE CENTER,"1512 MORNING STREET 
WINNSBORO, LA 71295",Franklin,Early Learning Center III
New Beginnings Child Care Center,"4332 Kirkman Street 
Lake Charles, LA 70607",Calcasieu,Early Learning Center III
New Covenant Presbyterian Weekday School,"4375 Highway 22 
Mandeville, LA 70471",St. Tammany,Early Learning Center I
New Horizon Community Development Center Inc.,"524 Joan Street 
Lafayette, LA 70501",Lafayette,Early Learning Center III
New Horizon Learning Academy,"1344 Lake 
Metairie, LA 70005",Jefferson,Early Learning Center III
New Living Word Ministries Child Care Center,"1900 West Barnett Springs Road 
Ruston, LA 71270",Lincoln,Early Learning Center III
New Vision Child Development Center,"507 Swayze Street 
Monroe, LA 71201",Ouachita,Early Learning Center III
Newcomb Children's Center of Tulane University,"1305 Broadway Street 
New Orleans, LA 70118",Orleans,Early Learning Center III
Next Generation Afterschool,"1919 Charity Street 
Abbeville, LA 70510",Vermilion,Early Learning Center I
"Next To Parents Day Care, Inc.","4946 Evangeline Street 
Baton Rouge, LA 70805",East Baton Rouge,Early Learning Center III
Noah's ARC Child Development Center,"1689 Viola Street 
Mandeville, LA 70448",St. Tammany,Early Learning Center III
Noahs Ark Childcare LLC,"407 Avenue I 
Kentwood, LA 70444",Tangipahoa,Early Learning Center II
Noahs Ark Learning Center LLC,"603 Gregory Street 
Vidalia, LA 71373",Concordia,Early Learning Center II
Noel Methodist Children's Center,"520 Herndon Street 
Shreveport, LA 71101",Caddo,Early Learning Center III
North Louisiana Early Learning Academy,"8811 Walker Road 
Shreveport, LA 71108",Caddo,Early Learning Center III
North Tangipahoa Head Start,"63508 Roch Road 
Roseland, LA 70456",Tangipahoa,Early Learning Center III
North Webster Children's Learning Center,"808 Reynolds Street 
Springhill, LA 71075",Webster,Early Learning Center III
Northlake Christian Early Learning Center,"70104 Wolverine Drive 
Covington, LA 70433",St. Tammany,Early Learning Center III
Northminster Montessori Preschool and Kindergarten,"63140 North Military Road 
Pearl River, LA 70452",St. Tammany,Early Learning Center III
"Nursery Rhyme, Inc.","3590 Jones Creek Road 
Baton Rouge, LA 70816",East Baton Rouge,Early Learning Center III
Nurture Nursery,"1546 North Broad 
New Orleans, LA 70119",Orleans,Early Learning Center II
OLL Early Childhood Development Center,"120 Westchester Place 
Slidell, LA 70458",St. Tammany,Early Learning Center I
Open Arms After Hours Child Enrichment Center,"801 St. John Street 
Monroe, LA 71201",Ouachita,Early Learning Center III
Open Door Child Development Center,"27045 Gloryland Way 
Denham Springs, LA 70726",Livingston,Early Learning Center III
Open Minds Academy LLC,"7016 Read Lane 
New Orleans, LA 70127",Orleans,Early Learning Center III
Open Minds Open Hearts Daycare,"2001 Frenchmen St. 
New Orleans, LA 70116",Orleans,Early Learning Center III
Our  Lady of Divine Providence,"917 N. Atlanta St. 
Metairie, LA 70003",Jefferson,Early Learning Center I
"Our House Child Care Center, LLC.","4534 Cedar Drive 
Bastrop , LA 71220",Morehouse,Early Learning Center III
Our Lady of Perpetual Help Catholic School,"8970 Hwy 23 
Belle Chasse, LA 70037",Plaquemines,Early Learning Center I
Our Lady Queen of Heaven ECC,"3905 Creole Street 
Lake Charles, LA 70605",Calcasieu,Early Learning Center III
Over the Rainbow Christian Pre-School,"130 Moffet Road 
Houma, LA 70363",Terrebonne,Early Learning Center III
Owens Developmental Learning Center,"7052 Main Highway 
Saint Martinville, LA 70582",St. Martin,Early Learning Center III
Pam's Personal Touch Child Care Center,"65 Lee Street 
Franklin, LA 70538",St. Mary,Early Learning Center III
Parish Pride Academy,"3601 Paris Road 
Chalmette , LA 70043",St. Bernard,Early Learning Center III
Park Place Learning Center,"120 Northpark Blvd 
Covington, LA 70433",St. Tammany,Early Learning Center III
Parks and Recreation District 3,"30372 Eden Church Road 
Denham Springs, LA 70726",Livingston,Early Learning Center I
Parkview Baptist Early Learning Center,"6301 Camphor Street 
Metairie, LA 70003",Jefferson,Early Learning Center III
Parkview Baptist Preschool,"5750 Parkview Church Road 
Baton Rouge, LA 70816",East Baton Rouge,Early Learning Center I
Parkway Presbyterian Weekday Schools,"6200 Camphor Street 
Metairie, LA 70003",Jefferson,Early Learning Center I
Pat's Playhouse Learning Center,"2725 Hollywood Ave. 
Shreveport, LA 71108",Caddo,Early Learning Center III
Patrick F. Taylor Campus,"901 Richard Street 
New Orleans , LA 70130",Orleans,Early Learning Center III
Paul E. Slaton Head Start Center,"1435 Mayberry Street 
Ruston, LA 71270",Lincoln,Early Learning Center III
Peace Out Daycare,"119 St. Stephen Drive 
Church Point , LA 70525",Acadia,Early Learning Center III
Pearl River Head Start,"63631 Hwy 11 
Pearl River, LA 70452",St. Tammany,Early Learning Center III
Pearlie H. Elloie Head Start/Early Head Start Center,"3029 Wall Boulevard 
New Orleans, LA 70114",Orleans,Early Learning Center III
Peas in a Pod Child Care & Learning Center,"2021 Saulet Place 
Harvey, LA 70058",Jefferson,Early Learning Center II
Pediatric Playhouse,"115 South College Road 
Lafayette , LA 70503",Lafayette,Early Learning Center II
Perfect Milestones Learning Academy,"61367 Airport Road 
Slidell, LA 70460",St. Tammany,Early Learning Center III
Personal Care Nursery and Preschool,"7741 Weaver Avenue 
New Orleans, LA 70127",Orleans,Early Learning Center III
Peter Pan Head Start Center,"1407 Barrow Street 
Franklin, LA 70538",St. Mary,Early Learning Center III
Phoenix Head Start,"12700 Highway 39 
Braithwaite , LA 70040",Plaquemines,Early Learning Center III
Pierre Part Head Start,"3321 Highway 70 
Pierre Part, LA 70339",Assumption,Early Learning Center III
Pine Belt Multi-Purpose - Union Bee Head Start,"3039 East Sixth Street 
Hodge, LA 71247",Jackson,Early Learning Center III
